EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
51,31,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,2,2,Healthcare Representative,2,Divorced,117210,7,Yes,19,3,3,3,9,4,1,20,15,13,1
52,34,No,Non-Travel,Human Resources,29,4,Medical,1,Female,4,2,Human Resources,4,Divorced,200233,8,No,21,3,2,2,16,1,4,18,6,7,14
53,53,No,Travel_Rarely,Sales,5,1,Medical,2,Female,2,3,Sales Executive,2,Divorced,79497,6,No,17,3,4,3,20,2,4,15,4,15,12
54,57,No,Travel_Frequently,Human Resources,10,3,Medical,2,Female,4,4,Healthcare Representative,3,Single,223310,9,No,22,3,2,1,17,3,3,34,4,8,14
55,21,No,Travel_Rarely,Sales,11,1,Technical Degree,4,Female,2,2,Human Resources,4,Divorced,29855,3,Yes,11,3,4,3,29,0,4,28,0,11,16
56,19,No,Travel_Rarely,Sales,16,5,Human Resources,1,Female,3,1,Research Scientist,1,Single,126295,3,Yes,24,3,1,2,16,1,2,28,2,0,2
57,23,No,Non-Travel,Sales,15,2,Medical,3,Male,3,2,Manufacturing Director,3,Single,99315,3,No,22,3,1,0,31,6,3,36,4,2,6
58,59,No,Non-Travel,Human Resources,16,5,Technical Degree,4,Female,4,3,Laboratory Technician,3,Divorced,66636,5,Yes,15,3,1,1,26,1,4,27,12,4,6
59,21,No,Travel_Rarely,Research & Development,13,3,Human Resources,4,Female,1,1,Sales Executive,2,Divorced,201030,8,No,11,3,1,3,9,1,1,24,16,4,0
60,46,No,Travel_Rarely,Research & Development,15,2,Technical Degree,4,Female,3,4,Sales Executive,4,Divorced,127308,8,No,15,3,4,2,5,3,4,16,8,3,6
61,35,No,Travel_Frequently,Research & Development,23,3,Medical,4,Male,3,1,Manufacturing Director,2,Married,137944,0,No,17,3,2,2,17,1,4,35,0,15,10
62,43,No,Travel_Frequently,Sales,17,3,Other,2,Female,3,4,Human Resources,4,Married,213283,3,Yes,23,3,2,1,19,2,4,1,8,9,17
63,51,No,Travel_Rarely,Human Resources,23,3,Technical Degree,4,Male,2,1,Healthcare Representative,4,Single,141666,9,No,25,3,3,2,7,4,2,27,12,9,10
64,27,No,Travel_Rarely,Human Resources,9,2,Other,3,Male,1,5,Laboratory Technician,4,Single,70780,1,No,18,3,3,2,37,3,3,36,11,3,12
65,53,No,Travel_Frequently,Human Resources,27,1,Life Sciences,3,Male,2,3,Sales Executive,4,Married,42167,9,No,11,4,4,0,15,2,2,23,6,8,5
66,31,No,Non-Travel,Sales,28,3,Life Sciences,3,Male,4,3,Healthcare Representative,1,Married,199491,4,No,20,3,1,1,4,2,2,31,10,12,2
67,48,No,Travel_Frequently,Human Resources,5,3,Human Resources,1,Female,3,3,Human Resources,2,Single,101632,6,Yes,20,3,3,1,28,4,2,31,8,5,1
68,32,Yes,Travel_Rarely,Sales,11,3,Life Sciences,1,Male,2,2,Sales Executive,1,Divorced,232871,4,No,18,3,4,1,36,0,4,4,0,14,6
69,25,No,Travel_Frequently,Human Resources,6,1,Marketing,4,Male,4,3,Laboratory Technician,2,Single,199182,7,Yes,22,3,3,2,14,0,1,18,10,0,17
70,31,Yes,Travel_Frequently,Sales,4,1,Human Resources,2,Female,1,1,Sales Executive,3,Single,129005,7,Yes,18,3,1,0,26,4,2,22,18,12,0
71,40,No,Travel_Rarely,Human Resources,16,4,Technical Degree,4,Female,3,3,Healthcare Representative,4,Divorced,213975,1,No,22,3,2,1,37,1,1,22,3,3,16
72,57,No,Travel_Frequently,Sales,14,2,Other,2,Male,4,3,Manufacturing Director,2,Married,144623,9,No,24,3,4,2,30,6,4,37,2,11,6
73,38,No,Travel_Rarely,Human Resources,17,2,Other,1,Male,4,5,Sales Executive,1,Divorced,203022,0,Yes,14,4,4,2,27,0,2,17,15,0,11
74,33,No,Travel_Frequently,Human Resources,25,1,Technical Degree,1,Male,4,4,Healthcare Representative,4,Divorced,200996,6,No,16,3,3,0,17,2,1,3,9,4,8
75,35,No,Non-Travel,Research & Development,1,4,Other,3,Male,2,2,Research Scientist,3,Divorced,145844,3,No,16,3,2,3,32,2,1,3,4,2,10
76,41,No,Non-Travel,Sales,9,3,Human Resources,2,Male,3,3,Human Resources,4,Married,51443,9,No,21,3,3,0,36,4,3,31,15,13,17
77,43,No,Travel_Rarely,Research & Development,27,4,Life Sciences,2,Female,4,3,Sales Executive,3,Divorced,163694,6,No,22,3,1,0,18,0,4,28,7,14,10
78,42,No,Travel_Rarely,Sales,21,5,Human Resources,1,Male,1,3,Healthcare Representative,3,Married,73106,4,No,15,3,3,3,31,6,4,17,14,7,9
79,58,No,Non-Travel,Human Resources,1,2,Human Resources,3,Male,3,1,Research Scientist,4,Single,238031,7,Yes,19,4,1,3,14,4,4,17,10,10,0
80,46,No,Travel_Frequently,Research & Development,4,3,Human Resources,3,Female,2,2,Manufacturing Director,4,Divorced,24472,3,No,25,3,2,1,23,1,1,1,6,9,13
81,32,No,Travel_Rarely,Research & Development,6,2,Life Sciences,3,Male,3,1,Human Resources,1,Married,221021,3,No,15,3,4,3,17,2,4,15,0,4,13
82,18,Yes,Travel_Rarely,Sales,18,2,Human Resources,1,Male,1,2,Laboratory Technician,1,Single,147313,4,No,10,3,3,3,10,4,3,13,4,10,11
83,42,No,Travel_Rarely,Human Resources,26,1,Other,2,Female,2,2,Laboratory Technician,3,Married,129630,4,No,18,3,3,2,24,3,1,6,9,7,10
84,24,No,Travel_Frequently,Research & Development,6,1,Other,4,Male,4,3,Laboratory Technician,1,Divorced,15282,6,No,11,4,1,3,34,0,3,25,12,15,0
85,26,No,Travel_Rarely,Sales,24,4,Life Sciences,3,Female,2,2,Laboratory Technician,1,Divorced,234404,9,No,13,3,4,2,37,6,3,8,9,13,11
86,41,No,Non-Travel,Human Resources,18,3,Other,4,Male,4,5,Laboratory Technician,3,Single,108837,5,No,13,3,3,0,19,6,2,19,8,7,6
87,18,No,Travel_Rarely,Human Resources,15,3,Medical,2,Male,2,5,Sales Executive,2,Married,230801,5,No,25,3,4,1,19,4,3,29,1,5,12
88,25,No,Travel_Rarely,Research & Development,19,2,Human Resources,1,Male,1,2,Research Scientist,4,Married,183861,8,No,24,3,3,2,38,1,4,33,5,13,6
89,41,No,Travel_Rarely,Research & Development,1,2,Technical Degree,4,Male,2,4,Laboratory Technician,2,Divorced,230127,4,No,10,3,4,3,16,2,4,19,5,2,3
90,28,Yes,Travel_Rarely,Human Resources,10,2,Technical Degree,1,Male,4,4,Human Resources,2,Single,206897,1,No,24,3,1,3,5,3,2,23,1,13,0
91,34,No,Non-Travel,Sales,15,3,Human Resources,2,Female,3,1,Human Resources,2,Single,40136,4,No,22,3,2,2,3,6,3,36,10,6,9
92,25,Yes,Travel_Rarely,Sales,15,4,Life Sciences,3,Female,3,2,Sales Executive,2,Divorced,68592,7,No,16,3,2,2,16,2,4,6,8,4,13
93,52,No,Travel_Rarely,Human Resources,7,3,Marketing,2,Male,1,2,Laboratory Technician,4,Married,107143,4,No,18,3,4,2,23,6,2,18,1,2,5
94,52,No,Travel_Frequently,Human Resources,6,1,Human Resources,1,Male,4,5,Manufacturing Director,1,Divorced,72516,6,No,12,3,4,1,3,5,1,18,5,3,2
95,50,No,Travel_Frequently,Human Resources,25,3,Human Resources,2,Male,4,3,Laboratory Technician,4,Married,149313,1,No,17,3,3,1,22,5,3,4,5,14,5
96,22,No,Travel_Rarely,Research & Development,23,4,Life Sciences,2,Male,4,4,Research Scientist,1,Single,241744,6,Yes,20,3,1,0,26,6,1,29,15,4,15
97,59,No,Non-Travel,Sales,22,1,Medical,4,Male,2,5,Healthcare Representative,1,Single,244931,4,No,23,3,1,2,5,6,2,16,4,13,6
98,56,No,Travel_Frequently,Sales,28,4,Other,3,Female,2,1,Healthcare Representative,3,Married,192736,8,No,19,3,1,3,9,4,1,13,13,10,6
99,58,No,Travel_Frequently,Sales,29,1,Life Sciences,2,Male,1,5,Manager,3,Divorced,99172,7,Yes,16,3,2,0,16,0,1,31,6,6,17
100,45,Yes,Travel_Rarely,Sales,8,1,Other,1,Male,3,3,Manager,1,Married,76237,2,No,25,3,4,2,2,3,1,24,4,10,17
101,24,No,Travel_Rarely,Sales,9,4,Marketing,3,Male,3,1,Manufacturing Director,2,Divorced,180395,3,Yes,14,3,1,2,13,6,3,8,6,2,6
102,26,No,Travel_Rarely,Research & Development,15,4,Marketing,1,Male,3,2,Research Scientist,1,Married,152758,0,No,25,3,3,0,35,2,3,12,18,9,7
103,25,No,Travel_Rarely,Human Resources,28,2,Other,4,Female,4,1,Sales Executive,2,Divorced,56288,9,No,10,3,4,3,34,2,2,7,2,11,2
104,29,No,Travel_Rarely,Sales,28,5,Technical Degree,1,Female,3,2,Laboratory Technician,1,Single,64882,6,No,21,3,4,1,21,5,4,18,9,9,3
105,51,No,Non-Travel,Human Resources,18,3,Marketing,1,Male,4,4,Human Resources,1,Divorced,243354,1,No,15,3,3,2,10,2,2,27,14,14,4
106,50,No,Travel_Rarely,Research & Development,13,2,Marketing,1,Male,3,1,Manufacturing Director,4,Divorced,222490,1,No,22,3,3,0,12,5,3,20,15,7,16
107,40,No,Non-Travel,Sales,27,4,Marketing,1,Female,3,5,Sales Executive,2,Divorced,165693,2,Yes,21,3,2,1,31,3,3,28,7,8,2
108,41,No,Non-Travel,Sales,5,2,Life Sciences,4,Female,4,3,Manager,2,Married,228281,9,No,12,3,2,0,21,0,1,7,1,8,0
109,54,No,Travel_Frequently,Sales,15,2,Human Resources,3,Female,2,2,Manager,3,Single,71294,1,No,25,3,2,2,14,4,4,14,15,14,15
110,52,No,Travel_Rarely,Research & Development,12,1,Marketing,2,Female,1,4,Laboratory Technician,2,Married,164698,9,No,18,3,4,3,27,0,4,13,15,14,3
111,57,No,Non-Travel,Human Resources,15,2,Human Resources,2,Female,1,4,Laboratory Technician,1,Married,65141,6,No,20,3,1,2,39,5,1,19,3,15,1
112,39,No,Travel_Rarely,Human Resources,19,5,Medical,4,Female,4,2,Sales Executive,2,Married,146984,7,Yes,22,4,3,0,7,6,4,29,1,5,16
113,44,No,Non-Travel,Research & Development,23,3,Life Sciences,1,Female,1,5,Manager,3,Married,136240,9,Yes,11,3,3,2,19,1,4,22,2,4,11
114,52,No,Non-Travel,Research & Development,9,3,Medical,3,Male,1,3,Manufacturing Director,4,Divorced,216535,0,No,25,3,2,0,19,1,4,14,4,15,13
115,18,Yes,Travel_Frequently,Human Resources,10,1,Human Resources,3,Male,1,4,Human Resources,3,Divorced,209276,5,Yes,20,4,1,3,33,4,2,9,12,4,9
116,52,Yes,Travel_Frequently,Research & Development,23,1,Technical Degree,4,Male,2,5,Manager,3,Divorced,200154,4,Yes,16,3,1,2,13,2,3,3,7,1,11
117,54,No,Travel_Rarely,Sales,13,2,Technical Degree,3,Male,1,5,Manufacturing Director,4,Married,38413,3,No,12,4,1,3,35,5,4,2,16,1,17
118,31,No,Non-Travel,Human Resources,22,5,Technical Degree,4,Female,1,3,Laboratory Technician,1,Single,122858,0,No,11,3,1,1,6,3,2,20,0,15,3
119,20,No,Travel_Frequently,Research & Development,22,4,Other,1,Male,3,5,Manager,4,Divorced,228881,2,Yes,23,3,1,0,37,2,3,4,7,0,2
120,18,No,Travel_Rarely,Human Resources,1,1,Marketing,4,Male,1,2,Sales Executive,2,Single,56298,5,No,15,3,4,0,30,2,4,40,14,2,6
121,22,No,Non-Travel,Sales,22,4,Technical Degree,4,Male,2,1,Research Scientist,2,Single,189635,2,Yes,22,3,4,0,11,3,4,37,17,15,5
122,43,No,Non-Travel,Human Resources,14,3,Other,3,Female,1,3,Manager,3,Divorced,206808,0,Yes,10,3,4,0,13,5,4,26,0,2,5
123,31,No,Non-Travel,Research & Development,22,3,Technical Degree,2,Female,3,3,Research Scientist,3,Married,148534,0,No,10,3,2,3,17,2,1,4,16,9,3
124,56,No,Travel_Rarely,Sales,2,5,Life Sciences,3,Female,1,3,Healthcare Representative,1,Divorced,24993,1,No,19,3,4,1,20,3,3,0,7,2,0
125,44,Yes,Travel_Rarely,Human Resources,20,1,Technical Degree,1,Female,3,5,Manager,4,Single,200783,0,No,20,3,1,1,34,3,4,20,16,1,7
126,26,No,Travel_Frequently,Research & Development,10,5,Human Resources,2,Male,2,2,Laboratory Technician,2,Married,164300,3,No,10,3,4,2,14,2,1,39,1,11,8
127,32,No,Non-Travel,Research & Development,2,3,Life Sciences,4,Female,2,1,Sales Executive,1,Single,174090,0,No,15,4,2,2,39,4,1,2,1,2,3
128,32,No,Travel_Rarely,Sales,10,5,Other,4,Female,4,5,Healthcare Representative,4,Single,36952,7,No,19,3,3,1,20,1,1,17,12,1,0
129,43,No,Travel_Rarely,Research & Development,17,3,Other,1,Female,3,2,Research Scientist,4,Married,187141,7,Yes,19,3,1,0,5,0,1,15,2,6,15
130,59,No,Travel_Frequently,Research & Development,8,1,Technical Degree,3,Female,2,5,Research Scientist,1,Divorced,135321,8,No,11,3,3,3,28,4,4,16,9,3,9
131,30,No,Non-Travel,Human Resources,14,2,Human Resources,4,Male,2,3,Manager,2,Single,101327,4,Yes,15,3,1,2,18,4,1,38,15,7,17
132,49,No,Non-Travel,Sales,5,3,Medical,1,Female,4,4,Manager,1,Single,248040,0,No,18,3,1,1,37,4,3,18,8,5,6
133,56,No,Travel_Rarely,Sales,13,1,Technical Degree,1,Male,3,1,Sales Executive,4,Single,136308,2,No,23,3,1,1,11,4,3,35,1,6,4
134,49,No,Non-Travel,Research & Development,8,3,Other,3,Female,1,4,Manager,3,Single,74279,0,No,17,3,3,3,14,1,1,32,10,2,13
135,21,No,Non-Travel,Research & Development,20,1,Medical,4,Female,1,2,Human Resources,3,Married,15360,6,No,24,4,4,2,16,1,1,22,9,3,5
136,47,No,Travel_Frequently,Research & Development,13,2,Other,2,Female,4,1,Human Resources,3,Divorced,157414,1,Yes,14,3,1,0,40,5,4,0,7,15,15
137,54,No,Travel_Frequently,Human Resources,8,4,Human Resources,3,Female,2,5,Manufacturing Director,4,Divorced,107014,6,Yes,20,3,3,3,7,4,4,28,14,9,9
138,40,No,Travel_Frequently,Research & Development,24,2,Marketing,3,Male,4,5,Manufacturing Director,2,Single,41999,2,No,12,3,3,1,11,4,3,25,3,2,1
139,56,No,Travel_Frequently,Human Resources,11,5,Technical Degree,1,Male,4,5,Healthcare Representative,2,Single,95954,5,Yes,25,3,4,0,29,3,1,5,10,6,10
140,32,No,Travel_Rarely,Sales,24,5,Life Sciences,4,Male,2,1,Human Resources,4,Married,73002,8,No,24,4,4,1,40,0,4,14,0,10,12
141,60,No,Travel_Frequently,Research & Development,27,1,Technical Degree,2,Female,1,4,Sales Executive,4,Single,207450,3,Yes,10,3,4,1,10,0,1,28,6,15,2
142,46,Yes,Non-Travel,Research & Development,1,3,Life Sciences,4,Male,1,1,Healthcare Representative,4,Married,236506,9,No,14,3,4,3,3,6,3,14,6,14,15
143,53,No,Non-Travel,Human Resources,9,1,Other,3,Male,2,5,Research Scientist,3,Married,93247,6,No,20,3,4,3,39,1,1,17,7,13,7
144,30,No,Travel_Rarely,Human Resources,8,5,Other,2,Female,1,1,Healthcare Representative,3,Single,103150,9,Yes,14,3,3,0,35,2,3,6,7,10,6
145,49,No,Non-Travel,Human Resources,28,1,Human Resources,4,Male,1,4,Sales Executive,3,Single,106277,6,No,18,3,2,0,24,1,2,9,3,15,2
146,24,Yes,Travel_Frequently,Sales,13,2,Technical Degree,3,Female,1,4,Research Scientist,1,Single,191449,7,No,17,3,1,1,1,4,4,12,14,5,7
147,39,No,Non-Travel,Research & Development,27,4,Human Resources,3,Female,2,3,Sales Executive,3,Single,233648,6,No,12,3,2,2,16,4,2,25,2,0,13
148,45,No,Travel_Rarely,Research & Development,10,4,Marketing,2,Female,2,1,Sales Executive,3,Married,155549,2,Yes,25,3,4,3,15,6,4,0,0,9,3
149,19,No,Travel_Rarely,Research & Development,2,5,Marketing,3,Female,4,2,Manager,3,Divorced,73863,6,No,10,3,4,1,33,5,1,0,2,0,6
150,59,No,Travel_Frequently,Sales,3,3,Marketing,4,Male,2,4,Laboratory Technician,4,Married,22978,6,No,13,4,1,1,27,4,4,26,1,8,4
151,23,No,Travel_Rarely,Research & Development,8,4,Other,4,Male,1,4,Human Resources,1,Single,234097,8,Yes,12,3,2,2,17,2,1,20,5,12,3
152,45,No,Travel_Frequently,Research & Development,6,2,Human Resources,2,Female,3,1,Laboratory Technician,2,Married,118297,4,Yes,19,3,1,3,38,3,4,34,13,6,3
153,45,No,Travel_Frequently,Research & Development,18,4,Medical,3,Female,1,2,Manufacturing Director,3,Married,123211,6,No,10,4,4,2,20,0,1,15,5,11,2
154,37,No,Travel_Frequently,Research & Development,12,2,Marketing,1,Male,4,2,Manager,4,Married,54299,4,No,13,3,2,3,8,5,3,8,13,8,0
155,47,Yes,Travel_Rarely,Sales,21,4,Life Sciences,2,Female,3,1,Research Scientist,3,Single,150776,4,No,18,3,3,1,7,5,2,8,12,12,9
156,28,No,Travel_Frequently,Research & Development,11,2,Medical,1,Male,2,4,Laboratory Technician,2,Married,118928,0,No,24,3,4,2,0,5,2,6,15,6,14
157,45,No,Non-Travel,Human Resources,4,1,Technical Degree,3,Female,2,3,Manufacturing Director,3,Divorced,190221,5,No,13,4,2,2,31,2,4,4,8,9,10
158,42,No,Travel_Frequently,Research & Development,15,1,Life Sciences,4,Female,4,4,Manager,3,Divorced,30280,1,No,20,3,4,2,36,1,1,4,9,7,15
159,56,No,Travel_Frequently,Human Resources,17,2,Human Resources,1,Male,2,4,Manager,2,Single,134804,7,No,18,3,1,0,12,3,4,30,6,6,17
160,50,No,Travel_Rarely,Research & Development,7,3,Other,1,Female,4,1,Manufacturing Director,4,Divorced,107445,1,Yes,20,3,3,0,0,6,4,34,15,0,17
161,18,No,Non-Travel,Human Resources,10,2,Technical Degree,2,Female,1,1,Manufacturing Director,4,Single,199920,2,Yes,17,3,3,0,16,6,4,35,6,6,14
162,44,No,Non-Travel,Human Resources,22,2,Life Sciences,3,Male,1,2,Human Resources,4,Divorced,174696,4,No,21,3,3,1,9,0,1,32,5,7,12
163,30,Yes,Travel_Rarely,Human Resources,13,2,Medical,3,Male,3,5,Manager,1,Single,246596,8,No,17,3,1,2,1,2,4,27,0,3,5
164,58,No,Travel_Frequently,Research & Development,11,2,Medical,1,Male,1,3,Healthcare Representative,3,Married,73085,2,No,14,3,2,2,37,0,1,17,9,1,7
165,20,No,Travel_Rarely,Human Resources,14,4,Medical,4,Female,1,4,Manufacturing Director,4,Married,225643,0,No,21,3,3,0,32,4,2,20,4,0,17
166,56,Yes,Non-Travel,Research & Development,30,5,Medical,1,Female,3,4,Healthcare Representative,4,Divorced,20463,6,Yes,14,3,4,1,29,1,1,37,4,10,10
